Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
centrosomal protein of 135 kDa isoform X1 [Vulpes vulpes],Vulpes vulpes,1540,1540,100%,0.0,90.35,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025859365.1?report=genbank&log$=prottop&blast_rank=92&RID=4U0A8D6Z01R"",""XP_025859365.1"")"
centrosomal protein of 135 kDa [Bos taurus],Bos taurus,1540,1540,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001068874.2?report=genbank&log$=prottop&blast_rank=93&RID=4U0A8D6Z01R"",""NP_001068874.2"")"
TPA: centrosomal protein 135kDa [Bos taurus],Bos taurus,1540,1540,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/DAA28691.1?report=genbank&log$=prottop&blast_rank=94&RID=4U0A8D6Z01R"",""DAA28691.1"")"
PREDICTED: centrosomal protein of 135 kDa [Bos indicus],Bos indicus,1539,1539,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019818341.1?report=genbank&log$=prottop&blast_rank=95&RID=4U0A8D6Z01R"",""XP_019818341.1"")"
centrosomal protein of 135 kDa isoform X1 [Balaenoptera musculus],Balaenoptera musculus,1539,1539,99%,0.0,89.55,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036709916.1?report=genbank&log$=prottop&blast_rank=96&RID=4U0A8D6Z01R"",""XP_036709916.1"")"
centrosomal protein of 135 kDa isoform X1 [Bubalus bubalis],Bubalus bubalis,1539,1539,99%,0.0,87.57,1150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025145815.1?report=genbank&log$=prottop&blast_rank=97&RID=4U0A8D6Z01R"",""XP_025145815.1"")"
centrosomal protein of 135 kDa isoform X2 [Pan troglodytes],Pan troglodytes,1537,1537,100%,0.0,97.89,1123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807194.1?report=genbank&log$=prottop&blast_rank=98&RID=4U0A8D6Z01R"",""XP_016807194.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Capra hircus],Capra hircus,1536,1536,99%,0.0,88.32,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017904969.1?report=genbank&log$=prottop&blast_rank=99&RID=4U0A8D6Z01R"",""XP_017904969.1"")"
centrosomal protein of 135 kDa isoform X1 [Delphinapterus leucas],Delphinapterus leucas,1536,1536,99%,0.0,89.73,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022419470.1?report=genbank&log$=prottop&blast_rank=100&RID=4U0A8D6Z01R"",""XP_022419470.1"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


