Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: centrosomal protein of 135 kDa isoform X3 [Chinchilla lanigera],Chinchilla lanigera,2024,2024,99%,0.0,88.58,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013374011.1?report=genbank&log$=prottop&blast_rank=92&RID=4TYYNHNK01R"",""XP_013374011.1"")"
centrosomal protein of 135 kDa [Choloepus didactylus],Choloepus didactylus,2024,2024,100%,0.0,88.33,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037685784.1?report=genbank&log$=prottop&blast_rank=93&RID=4TYYNHNK01R"",""XP_037685784.1"")"
centrosomal protein of 135 kDa [Urocitellus parryii],Urocitellus parryii,2023,2023,100%,0.0,88.01,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026241906.1?report=genbank&log$=prottop&blast_rank=94&RID=4TYYNHNK01R"",""XP_026241906.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Chinchilla lanigera],Chinchilla lanigera,2023,2023,99%,0.0,88.58,1188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013374009.1?report=genbank&log$=prottop&blast_rank=95&RID=4TYYNHNK01R"",""XP_013374009.1"")"
centrosomal protein of 135 kDa isoform X1 [Lagenorhynchus obliquidens],Lagenorhynchus obliquidens,2022,2022,99%,0.0,89.11,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026958674.1?report=genbank&log$=prottop&blast_rank=96&RID=4TYYNHNK01R"",""XP_026958674.1"")"
centrosomal protein of 135 kDa [Balaenoptera acutorostrata scammoni],Balaenoptera acutorostrata scammoni,2022,2022,99%,0.0,89.53,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007165354.2?report=genbank&log$=prottop&blast_rank=97&RID=4TYYNHNK01R"",""XP_007165354.2"")"
centrosomal protein of 135 kDa isoform X2 [Phocoena sinus],Phocoena sinus,2019,2019,99%,0.0,89.29,1147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032489271.1?report=genbank&log$=prottop&blast_rank=98&RID=4TYYNHNK01R"",""XP_032489271.1"")"
centrosomal protein of 135 kDa [Ictidomys tridecemlineatus],Ictidomys tridecemlineatus,2019,2019,100%,0.0,87.84,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005320079.1?report=genbank&log$=prottop&blast_rank=99&RID=4TYYNHNK01R"",""XP_005320079.1"")"
PREDICTED: centrosomal protein of 135 kDa [Orycteropus afer afer],Orycteropus afer afer,2018,2018,100%,0.0,87.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007944424.1?report=genbank&log$=prottop&blast_rank=100&RID=4TYYNHNK01R"",""XP_007944424.1"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


