Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Chinchilla lanigera],Chinchilla lanigera,1798,1798,98%,0.0,88.75,1188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013374009.1?report=genbank&log$=prottop&blast_rank=94&RID=4U0PF731016"",""XP_013374009.1"")"
centrosomal protein of 135 kDa isoform X1 [Globicephala melas],Globicephala melas,1798,1798,99%,0.0,89.38,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030736466.1?report=genbank&log$=prottop&blast_rank=95&RID=4U0PF731016"",""XP_030736466.1"")"
centrosomal protein of 135 kDa [Choloepus didactylus],Choloepus didactylus,1798,1798,100%,0.0,88.33,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037685784.1?report=genbank&log$=prottop&blast_rank=96&RID=4U0PF731016"",""XP_037685784.1"")"
PREDICTED: centrosomal protein of 135 kDa [Miniopterus natalensis],Miniopterus natalensis,1797,1797,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016062925.1?report=genbank&log$=prottop&blast_rank=97&RID=4U0PF731016"",""XP_016062925.1"")"
centrosomal protein of 135 kDa isoform X1 [Phocoena sinus],Phocoena sinus,1797,1797,98%,0.0,89.54,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032489268.1?report=genbank&log$=prottop&blast_rank=98&RID=4U0PF731016"",""XP_032489268.1"")"
PREDICTED: centrosomal protein of 135 kDa [Orycteropus afer afer],Orycteropus afer afer,1796,1796,98%,0.0,88.12,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007944424.1?report=genbank&log$=prottop&blast_rank=99&RID=4U0PF731016"",""XP_007944424.1"")"
centrosomal protein of 135 kDa [Manis pentadactyla],Manis pentadactyla,1796,1796,98%,0.0,88.56,1147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036751112.1?report=genbank&log$=prottop&blast_rank=100&RID=4U0PF731016"",""XP_036751112.1"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


