Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: centrosomal protein of 135 kDa [Bos mutus],Bos mutus,1367,1367,99%,0.0,88.24,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005899111.1?report=genbank&log$=prottop&blast_rank=94&RID=4U33DKUK013"",""XP_005899111.1"")"
centrosomal protein of 135 kDa [Microcebus murinus],Microcebus murinus,1367,1367,100%,0.0,89.83,1141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012613710.1?report=genbank&log$=prottop&blast_rank=95&RID=4U33DKUK013"",""XP_012613710.1"")"
centrosomal protein of 135 kDa [Bos taurus],Bos taurus,1367,1367,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001068874.2?report=genbank&log$=prottop&blast_rank=96&RID=4U33DKUK013"",""NP_001068874.2"")"
centrosomal protein of 135 kDa [Manis pentadactyla],Manis pentadactyla,1367,1367,99%,0.0,88.50,1147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036751112.1?report=genbank&log$=prottop&blast_rank=97&RID=4U33DKUK013"",""XP_036751112.1"")"
TPA: centrosomal protein 135kDa [Bos taurus],Bos taurus,1367,1367,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/DAA28691.1?report=genbank&log$=prottop&blast_rank=98&RID=4U33DKUK013"",""DAA28691.1"")"
PREDICTED: centrosomal protein of 135 kDa [Bos indicus],Bos indicus,1366,1366,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019818341.1?report=genbank&log$=prottop&blast_rank=99&RID=4U33DKUK013"",""XP_019818341.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Condylura cristata],Condylura cristata,1366,1366,98%,0.0,88.66,1138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004681530.1?report=genbank&log$=prottop&blast_rank=100&RID=4U33DKUK013"",""XP_004681530.1"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


